StudentID,Age,Gender,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
00001,21,2,5,5,1,2,1,5,4,5,5,5
00002,21,2,2,4,1,3,3,5,3,3,2,2
00003,20,1,2,5,3,1,5,1,2,5,4,3
00004,24,2,3,4,2,1,1,3,2,1,2,4
00005,24,1,2,4,1,2,3,1,2,2,1,3
00006,24,1,4,2,4,2,2,5,2,1,3,2
00007,22,1,1,2,3,5,2,3,1,4,2,5
00008,24,1,1,1,2,2,1,2,5,3,2,5
00009,20,2,5,1,1,5,4,3,3,5,3,2
00010,19,2,5,4,1,3,4,4,5,5,2,3
00011,22,2,3,5,5,4,4,2,2,1,1,2
00012,23,2,5,1,5,1,2,4,2,3,2,3
00013,19,2,5,2,4,1,1,5,2,3,1,3
00014,19,1,5,1,,5,4,2,4,1,1,1
00015,24,1,5,3,3,1,4,5,,5,2,2
00016,19,1,3,1,1,4,5,1,2,3,4,1
00017,20,2,1,5,1,1,4,3,5,3,1,4
00018,19,2,4,2,1,2,5,2,,4,2,5
00019,21,1,14,5,5,4,5,1,5,3,4,2
00020,20,1,4,5,5,4,4,5,2,2,5,1
00021,19,1,4,3,4,5,3,4,2,4,4,5
00022,23,1,4,4,2,1,2,2,1,5,2,4
00023,19,1,5,2,1,5,3,4,2,5,4,4
00024,24,2,3,2,5,1,4,2,4,5,4,2
00025,19,1,2,3,3,3,1,3,5,3,3,1
00026,18,2,11,1,4,2,2,5,4,2,5,5
00027,24,1,5,5,1,1,2,3,5,2,5,2
00028,21,1,1,5,5,1,2,4,1,3,3,1
00029,24,2,4,1,2,4,1,4,4,4,2,2
00030,19,2,1,4,1,3,1,3,1,3,5,4
